"","Rk","Name","Born","Yrs","From","To","ASG","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","W","L","ERA","WHIP","G.1","GS","SV","IP","H.1","HR.1","BB.1","SO","Franchises","month","day"
"1",1,"Xavier Avery",1990,1,2012,2012,0,32,94,14,21,1,6,6,11,0.223,0.305,0.34,0.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL",1,1
"2",2,"Jarrett Parker",1989,3,2015,2017,0,93,197,34,50,11,30,1,26,0.254,0.355,0.467,0.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFG",1,1
"3",3,"Dallas Keuchel",1988,6,2012,2017,1,150,35,2,3,0,1,0,2,0.086,0.132,0.086,0.217,59,47,3.6,1.226,146,137,0,914.2,865,88,256,736,"HOU",1,1
"4",4,"Nick Hagadone",1986,5,2011,2015,0,143,0,0,0,0,0,0,0,NA,NA,NA,NA,3,2,4.72,1.369,143,0,1,118.1,102,14,60,122,"CLE",1,1
"5",5,"Neil Wagner",1984,3,2011,2014,0,52,0,0,0,0,0,0,0,NA,NA,NA,NA,2,4,4.92,1.453,52,0,0,53,57,7,20,43,"OAK,TOR",1,1
"6",6,"Fernando Tatis",1975,11,1997,2010,0,949,3051,427,807,113,448,50,321,0.265,0.344,0.442,0.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEX,STL,WSN,BAL,NYM",1,1
"7",7,"Kevin Beirne",1974,3,2000,2002,0,46,5,1,2,0,0,0,0,0.4,0.4,0.4,0.8,3,3,6.09,1.541,46,4,0,85.2,89,14,43,63,"CHW,TOR,LAD",1,1
"8",8,"Rafael Roque",1972,3,1998,2000,0,56,30,0,2,0,1,0,2,0.067,0.125,0.067,0.192,5,8,5.36,1.584,56,18,1,137.2,145,26,73,104,"MIL",1,1
"9",9,"Gary Wilson",1970,1,1995,1995,0,10,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,5.02,1.256,10,0,0,14.1,13,2,5,8,"PIT",1,1
"10",10,"Roberto Rivera",1969,2,1995,1999,0,19,0,0,0,0,0,0,0,NA,NA,NA,NA,1,2,4.5,1.583,19,0,0,12,14,2,5,5,"CHC,SDP",1,1
"11",11,"Bob Owchinko",1955,10,1976,1986,0,275,163,9,22,0,5,0,13,0.135,0.199,0.153,0.352,37,60,4.28,1.46,275,104,7,890.2,937,88,363,490,"SDP,CLE,OAK,PIT,CIN,WSN",1,1
"12",12,"LaMarr Hoyt",1955,8,1979,1986,1,246,110,7,10,0,3,0,2,0.091,0.107,0.1,0.207,98,68,3.99,1.214,244,172,10,1311.1,1313,140,279,681,"CHW,SDP",1,1
"13",13,"Lynn Jones",1953,8,1979,1986,0,527,947,109,239,7,91,13,73,0.252,0.308,0.321,0.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DET,KCR",1,1
"14",14,"Joe Pittman",1953,3,1981,1984,0,139,285,29,75,0,16,13,20,0.263,0.309,0.302,0.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOU,SDP,SFG",1,1
"15",15,"Randy Bobb",1948,2,1968,1969,0,10,10,0,1,0,0,0,1,0.1,0.182,0.1,0.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHC",1,1
"16",16,"Bill Bethea",1942,1,1964,1964,0,10,30,4,5,0,2,0,4,0.167,0.265,0.2,0.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIN",1,1
"17",17,"Gene Host",1933,2,1956,1957,0,12,7,0,0,0,0,0,0,0,0,0,0,0,2,7.31,1.906,12,3,0,28.1,38,7,16,14,"DET,OAK",1,1
"18",18,"Foster Castleman",1931,5,1954,1958,0,268,662,58,136,20,65,4,35,0.205,0.25,0.341,0.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFG,BAL",1,1
"19",19,"Carl Scheib",1927,11,1943,1954,0,327,468,51,117,5,59,1,21,0.25,0.284,0.338,0.621,45,65,4.88,1.516,267,107,18,1070.2,1130,99,493,290,"OAK,STL",1,1
"20",20,"Charlie Bishop",1924,4,1952,1955,0,72,100,5,11,0,8,0,3,0.11,0.136,0.14,0.276,10,22,5.33,1.616,69,37,3,294,307,28,168,121,"OAK",1,1
"21",21,"Earl Torgeson",1924,15,1947,1961,0,1668,4969,848,1318,149,740,133,980,0.265,0.385,0.417,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATL,PHI,DET,CHW,NYY",1,1
"22",22,"Royce Lint",1921,1,1954,1954,0,31,10,1,1,0,2,1,6,0.1,0.438,0.2,0.638,2,3,4.86,1.493,30,4,0,70.1,75,9,30,36,"STL",1,1
"23",23,"Sherry Robertson",1919,10,1940,1952,0,597,1507,200,346,26,151,32,202,0.23,0.323,0.342,0.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIN,OAK",1,1
"24",24,"Hiker Moran",1912,2,1938,1939,0,7,6,1,1,0,1,0,2,0.167,0.375,0.167,0.542,1,1,3.91,1.478,7,2,0,23,22,3,12,4,"ATL",1,1
"25",25,"Hank Greenberg HOF",1911,13,1930,1947,5,1394,5193,1046,1628,331,1274,58,852,0.313,0.412,0.605,1.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DET,PIT",1,1
"26",26,"Charlie Devens",1910,3,1932,1934,0,16,25,1,3,0,1,1,6,0.12,0.29,0.12,0.41,5,3,3.73,1.659,16,10,0,82,74,1,62,31,"NYY",1,1
"27",27,"Ethan Allen",1904,13,1926,1938,0,1281,4418,623,1325,47,501,84,223,0.3,0.336,0.41,0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN,SFG,STL,PHI,CHC,BAL",1,1
"28",28,"Teddy Kearns",1900,3,1920,1925,0,8,19,0,5,0,1,0,1,0.263,0.3,0.368,0.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OAK,CHC",1,1
"29",29,"Al Stokes",1900,2,1925,1926,0,47,138,14,25,0,7,0,12,0.181,0.247,0.261,0.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOS",1,1
"30",30,"Monty Swartz",1897,1,1920,1920,0,1,4,0,2,0,0,0,0,0.5,0.5,0.5,1,0,1,4.5,1.583,1,1,0,12,17,0,2,2,"CIN",1,1
"31",31,"Hack Miller",1894,6,1916,1925,0,349,1200,164,387,38,205,10,64,0.323,0.361,0.49,0.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAD,BOS,CHC",1,1
"32",32,"Frank Fuller",1894,3,1915,1923,0,40,63,11,11,0,3,6,11,0.175,0.297,0.175,0.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DET,BOS",1,1
"33",33,"Charlie Schmutz",1891,2,1914,1915,0,19,17,2,3,0,0,0,2,0.176,0.263,0.235,0.498,1,3,3.52,1.272,19,5,0,61.1,64,1,14,22,"LAD",1,1
"34",34,"Tom Downey",1884,6,1909,1915,0,651,2170,256,520,7,188,87,198,0.24,0.306,0.304,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN,CHC,PHI,BFL",1,1
"35",35,"Howard Murphy",1882,1,1909,1909,0,25,60,3,12,0,3,1,4,0.2,0.25,0.2,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STL",1,1
"36",36,"Andy Bruckmiller",1882,1,1905,1905,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27,5,1,0,0,1,4,0,1,1,"DET",1,1
"37",37,"Rudy Bell",1881,1,1907,1907,0,17,52,4,11,0,3,4,3,0.212,0.268,0.288,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYY",1,1
"38",38,"Claude Rothgeb",1880,1,1905,1905,0,7,16,2,2,0,0,1,0,0.125,0.125,0.125,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIN",1,1
"39",39,"Harry Wilson",1876,1,1898,1898,0,1,2,0,0,0,0,0,1,0,0.333,0,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BLO",1,1
"40",40,"Joe Martin",1876,1,1903,1903,0,79,292,29,64,0,14,2,11,0.219,0.252,0.315,0.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL,MIN",1,1
"41",41,"Doc Amole",1874,2,1897,1898,0,18,48,5,5,0,5,0,2,0.104,0.173,0.104,0.277,4,10,4.75,1.584,18,12,0,119.1,150,0,39,30,"BLO,WAS",1,1
"42",42,"Ned Garvin",1874,7,1896,1904,0,181,500,34,61,0,18,1,17,0.122,0.156,0.124,0.28,58,97,2.72,1.237,181,158,3,1400.2,1320,20,413,612,"PHI,CHC,BAL,LAD,CHW,NYY",1,1
"43",43,"Tom Donovan",1873,1,1901,1901,0,18,71,9,18,0,5,1,0,0.254,0.254,0.324,0.577,0,0,5.14,2.714,1,0,0,7,16,0,3,0,"CLE",1,1
"44",44,"Malcolm MacDonald",1872,1,1902,1902,0,2,9,0,3,0,1,0,0,0.333,0.333,0.333,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFG",1,1
"45",45,"Bumpus Jones",1870,2,1892,1893,0,8,18,3,4,0,0,1,3,0.222,0.333,0.389,0.722,2,4,7.99,1.896,8,7,0,41.2,42,1,37,10,"CIN,SFG",1,1
"46",46,"Frank Connaughton",1869,3,1894,1906,0,146,530,98,150,4,77,26,44,0.283,0.344,0.343,0.687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATL,SFG",1,1
"47",47,"Jack Keenan",1869,1,1891,1891,0,1,4,1,2,0,1,1,0,0.5,0.5,0.5,1,0,1,0,1.25,1,1,0,8,6,0,4,5,"CKK",1,1
"48",48,"Dave Zearfoss",1868,5,1896,1905,0,72,202,15,42,0,17,2,19,0.208,0.279,0.252,0.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFG,STL",1,1
"49",49,"Miah Murray",1865,4,1884,1891,0,34,120,6,17,0,7,0,4,0.142,0.176,0.15,0.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRO,LOU,WNL,WAS",1,1
"50",50,"Hugh Nicol",1858,10,1881,1890,0,888,3465,631,813,5,272,383,337,0.235,0.307,0.282,0.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHC,STL,CIN",1,1
"51",51,"Tim Keefe HOF",1857,14,1880,1893,0,618,2083,248,390,12,134,13,175,0.187,0.252,0.27,0.521,342,225,2.63,1.123,600,594,2,5049.2,4438,75,1233,2564,"TRT,NYP,SFG,NYI,PHI",1,1
"52",52,"Bill McGunnigle",1855,3,1879,1882,0,56,202,24,35,0,6,NA,5,0.173,0.193,0.183,0.376,11,8,2.81,1.146,19,18,0,157,156,0,24,65,"BUF,WOR,CBL",1,1
"53",53,"Robert Stevens",1855,1,1875,1875,0,1,4,0,1,0,0,0,0,0.25,0.25,0.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WNT",1,1
"54",54,"Tom Mansell",1855,3,1879,1884,0,191,767,132,199,0,74,NA,39,0.259,0.3,0.318,0.619,0,0,16.2,3.9,1,0,0,6.2,21,2,5,3,"SYR,TRT,DTN,STL,CIN,CBK",1,1
"55",55,"Pete Morris",1854,1,1884,1884,0,1,3,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WNA",1,1
"56",56,"David Lenz",1851,1,1872,1872,0,4,12,2,1,0,0,0,0,0.083,0.083,0.083,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ECK",1,1
"57",57,"Harry Berthrong",1844,1,1871,1871,0,17,73,17,17,0,8,3,4,0.233,0.273,0.274,0.547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OLY",1,1
"58",1,"Aaron Barrett",1988,2,2014,2015,0,90,0,0,0,0,0,0,0,NA,NA,NA,NA,6,3,3.47,1.257,90,0,0,70,61,2,27,84,"WSN",1,2
"59",2,"Eric Fornataro",1988,1,2014,2014,0,8,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,4.66,1.241,8,0,0,9.2,11,0,1,3,"STL",1,2
"60",3,"Dave Sappelt",1987,3,2011,2013,0,95,251,28,63,2,17,4,17,0.251,0.301,0.343,0.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN,CHC",1,2
"61",4,"J.D. Martin",1983,2,2009,2010,0,26,37,3,6,0,0,0,1,0.162,0.184,0.189,0.373,6,9,4.32,1.408,24,24,0,125,141,23,35,68,"WSN",1,2
"62",5,"Ryan Garko",1981,6,2005,2010,0,463,1552,190,427,55,250,0,125,0.275,0.347,0.434,0.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLE,SFG,TEX",1,2
"63",6,"Scott Proctor",1977,7,2004,2011,0,307,5,0,0,0,1,0,0,0,0,0,0,18,16,4.78,1.469,307,1,1,343,337,58,167,291,"NYY,LAD,ATL",1,2
"64",7,"Hansel Izquierdo",1977,1,2002,2002,0,20,2,0,0,0,0,0,0,0,0,0,0,2,0,4.55,1.82,20,2,0,29.2,33,2,21,20,"FLA",1,2
"65",8,"Jeff Suppan",1975,17,1995,2012,0,453,440,27,76,1,24,1,24,0.173,0.221,0.195,0.416,140,146,4.7,1.461,448,417,0,2542.2,2843,337,871,1390,"BOS,ARI,KCR,PIT,STL,MIL,SDP",1,2
"66",9,"Mike Metcalfe",1973,2,1998,2000,0,8,13,0,1,0,0,2,1,0.077,0.143,0.077,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAD",1,2
"67",10,"Garrett Stephenson",1972,7,1996,2003,0,123,180,1,18,0,7,0,9,0.1,0.152,0.111,0.263,39,39,4.55,1.38,123,104,0,651.1,662,91,237,408,"BAL,PHI,STL",1,2
"68",11,"Rick Greene",1971,1,1999,1999,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4.76,1.412,1,0,0,5.2,7,2,1,3,"CIN",1,2
"69",12,"Royce Clayton",1970,17,1991,2007,1,2108,7379,935,1904,110,723,231,565,0.258,0.312,0.367,0.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFG,STL,TEX,CHW,MIL,COL,ARI,CIN,WSN,BOS,TOR",1,2
"70",13,"Greg Swindell",1965,17,1986,2002,1,665,245,10,46,0,13,0,4,0.188,0.2,0.229,0.429,123,122,3.86,1.26,664,269,7,2233.1,2313,262,501,1542,"CLE,CIN,HOU,MIN,BOS,ARI",1,2
"71",14,"Colby Ward",1964,1,1990,1990,0,22,0,0,0,0,0,0,0,NA,NA,NA,NA,1,3,4.25,1.444,22,0,1,36,31,3,21,23,"CLE",1,2
"72",15,"David Cone",1963,17,1986,2003,5,451,412,28,64,0,22,0,16,0.155,0.192,0.177,0.369,194,126,3.46,1.256,450,419,1,2898.2,2504,258,1137,2668,"KCR,NYM,TOR,NYY,BOS",1,2
"73",16,"Edgar Martinez",1963,18,1987,2004,7,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEA",1,2
"74",17,"Greg Heydeman",1952,1,1973,1973,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,4.5,1.5,1,0,0,2,2,0,1,1,"LAD",1,2
"75",18,"Bill Madlock",1951,15,1973,1987,3,1806,6594,920,2008,163,860,174,605,0.305,0.365,0.442,0.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEX,CHC,SFG,PIT,LAD,DET",1,2
"76",19,"Royle Stillman",1951,3,1975,1977,0,89,155,19,33,3,15,2,21,0.213,0.305,0.329,0.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL,CHW",1,2
"77",20,"Jim Essian",1951,12,1973,1984,0,710,1855,194,453,33,207,9,231,0.244,0.327,0.347,0.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI,CHW,OAK,SEA,CLE",1,2
"78",21,"Sonny Ruberto",1946,2,1969,1972,0,21,24,3,3,0,0,0,1,0.125,0.192,0.125,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SDP,CIN",1,2
"79",22,"Bill Oster",1933,1,1954,1954,0,8,3,0,1,0,0,0,0,0.333,0.333,0.333,0.667,0,1,6.32,1.979,8,1,0,15.2,19,2,12,5,"OAK",1,2
"80",23,"Ed Wolfe",1929,1,1952,1952,0,3,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,7.36,3.273,3,0,0,3.2,7,1,5,1,"PIT",1,2
"81",24,"Stan Hollmig",1926,3,1949,1951,0,94,265,29,67,2,27,1,20,0.253,0.31,0.37,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",1,2
"82",25,"Cliff Dapper",1920,1,1942,1942,0,8,17,2,8,1,9,0,2,0.471,0.526,0.706,1.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAD",1,2
"83",26,"Bill Harman",1919,1,1941,1941,0,15,14,1,1,0,0,0,0,0.071,0.071,0.071,0.143,0,0,4.85,1.769,5,0,0,13,15,0,8,3,"PHI",1,2
"84",27,"Bobby Reis",1909,6,1931,1938,0,175,301,32,70,0,21,5,25,0.233,0.291,0.279,0.57,10,13,4.27,1.673,69,9,2,242.2,262,12,144,52,"LAD,ATL",1,2
"85",28,"Ted Gullic",1907,2,1930,1933,0,196,612,73,151,9,79,7,42,0.247,0.296,0.358,0.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL",1,2
"86",29,"Pinky Whitney",1905,12,1928,1939,1,1539,5765,696,1701,93,927,45,400,0.295,0.343,0.415,0.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI,ATL",1,2
"87",30,"Red Kress",1905,14,1927,1946,0,1391,5087,691,1454,89,799,46,474,0.286,0.347,0.42,0.767,0,0,12.54,2.036,4,0,0,9.1,13,1,6,6,"BAL,CHW,MIN,DET,SFG",1,2
"88",31,"Ray Jacobs",1902,1,1928,1928,0,2,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHC",1,2
"89",32,"Nick Dumovich",1902,1,1923,1923,0,28,29,4,7,0,0,0,2,0.241,0.313,0.31,0.623,3,5,4.6,1.734,28,8,1,94,118,4,45,23,"CHC",1,2
"90",33,"Bill Wagner",1894,5,1914,1918,0,93,242,19,50,1,18,1,21,0.207,0.273,0.281,0.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT,ATL",1,2
"91",34,"Jesse Altenburg",1893,2,1916,1917,0,19,31,3,9,0,3,0,1,0.29,0.313,0.387,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT",1,2
"92",35,"George Boehler",1892,9,1912,1926,0,63,60,9,14,0,6,1,5,0.233,0.292,0.333,0.626,6,12,4.71,1.809,61,18,0,202.1,232,4,134,93,"DET,BAL,PIT,LAD",1,2
"93",36,"Merlin Kopp",1892,3,1915,1919,0,187,630,96,146,1,30,39,89,0.232,0.332,0.286,0.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIN,OAK",1,2
"94",37,"Jack Kibble",1892,1,1912,1912,0,5,8,1,0,0,0,0,0,0,0.111,0,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLE",1,2
"95",38,"Joe Lotz",1891,1,1916,1916,0,12,12,1,4,0,2,0,0,0.333,0.333,0.417,0.75,0,3,4.28,1.2,12,3,0,40,31,1,17,18,"STL",1,2
"96",39,"Harry LaRoss",1888,1,1914,1914,0,22,48,7,11,0,5,4,2,0.229,0.26,0.25,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",1,2
"97",40,"Steve Melter",1886,1,1909,1909,0,23,15,1,2,0,1,0,1,0.133,0.188,0.2,0.388,0,1,3.5,1.539,23,1,3,64.1,79,1,20,24,"STL",1,2
"98",41,"Chick Autry",1885,2,1907,1909,0,81,257,22,50,0,17,6,24,0.195,0.269,0.218,0.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN,ATL",1,2
"99",42,"Al Froehlich",1885,1,1909,1909,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",1,2
"100",43,"George Jackson",1882,3,1911,1913,0,152,554,85,158,4,76,34,50,0.285,0.357,0.375,0.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATL",1,2
"101",44,"Phil Saylor",1871,1,1891,1891,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0.667,1,0,0,3,2,1,0,0,"PHI",1,2
"102",45,"Ed Keas",1863,1,1888,1888,0,6,23,1,2,0,0,0,0,0.087,0.125,0.087,0.212,3,3,2.29,1.275,6,6,0,51,53,1,12,18,"CLV",1,2
"103",46,"Jack Neagle",1858,3,1879,1884,0,100,369,37,65,0,6,NA,14,0.176,0.208,0.211,0.42,16,50,4.59,1.428,70,68,0,560.1,659,17,141,152,"CNR,BLO,PHI,PIT",1,2
"104",47,"Pat Murphy",1857,4,1887,1890,0,86,309,34,68,1,21,7,24,0.22,0.278,0.272,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFG",1,2
"105",48,"Jack Farrell",1856,1,1874,1874,0,3,13,3,5,0,0,0,1,0.385,0.429,0.385,0.813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HNA",1,2
"106",49,"Sam Crane",1854,7,1880,1890,0,373,1359,183,276,3,45,25,60,0.203,0.237,0.258,0.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF,NYP,COR,DTN,SLM,WNL,SFG,PIT",1,2
"107",50,"Packy Dillon",1853,1,1875,1875,0,3,13,1,3,0,1,0,0,0.231,0.231,0.308,0.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLR",1,2
"108",51,"Frank Abercrombie",1850,1,1871,1871,0,1,4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRO",1,2
"109",1,"Mike Wright",1990,3,2015,2017,0,33,2,0,1,0,0,0,0,0.5,0.5,0.5,1,6,9,6.01,1.48,33,21,0,124.1,139,22,45,84,"BAL",1,3
"110",2,"Hunter Cervenka",1990,1,2016,2016,0,68,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,3.53,1.362,68,0,0,43.1,31,3,28,42,"ATL,FLA",1,3
"111",3,"Alex Meyer",1990,3,2015,2017,0,15,2,0,1,0,0,0,0,0.5,0.5,0.5,1,3,5,5.81,1.64,15,12,0,57.1,54,8,40,64,"MIN,ANA",1,3
"112",4,"Brad Salmon",1980,1,2007,2007,0,26,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,4.13,1.333,26,0,0,24,22,3,10,22,"CIN",1,3
"113",5,"Rosman Garcia",1979,2,2003,2004,0,50,0,0,0,0,0,0,0,NA,NA,NA,NA,1,2,5.94,1.887,50,0,0,53,72,5,28,30,"TEX",1,3
"114",6,"Michael Restovich",1979,6,2002,2007,0,152,268,37,64,6,21,1,28,0.239,0.313,0.377,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIN,COL,PIT,CHC,WSN",1,3
"115",7,"Carlos Maldonado",1979,4,2006,2012,0,29,63,3,10,3,8,1,9,0.159,0.26,0.317,0.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT,WSN",1,3
"116",8,"Delvin James",1978,1,2002,2002,0,8,0,0,0,0,0,0,0,NA,NA,NA,NA,0,3,6.55,1.602,8,6,0,34.1,40,5,15,17,"TBD",1,3
"117",9,"Zach Sorensen",1977,2,2003,2005,0,48,49,5,7,1,2,0,7,0.143,0.25,0.245,0.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLE,ANA",1,3
"118",10,"Mike Crudale",1977,2,2002,2003,0,71,2,0,0,0,0,0,0,0,0,0,0,3,1,2.09,1.186,71,1,0,73.1,55,4,32,60,"STL,MIL",1,3
"119",11,"A.J. Burnett",1977,17,1999,2015,1,436,493,20,56,4,19,0,20,0.114,0.151,0.166,0.317,164,157,3.99,1.325,435,430,0,2731.1,2519,263,1100,2513,"FLA,TOR,NYY,PIT,PHI",1,3
"120",12,"DaRond Stovall",1973,1,1998,1998,0,62,78,11,16,2,6,1,6,0.205,0.262,0.333,0.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WSN",1,3
"121",13,"Cris Colon",1969,1,1992,1992,0,14,36,5,6,0,1,0,1,0.167,0.189,0.167,0.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEX",1,3
"122",14,"Jimmy Rogers",1967,1,1995,1995,0,19,0,0,0,0,0,0,0,NA,NA,NA,NA,2,4,5.7,1.648,19,0,0,23.2,21,4,18,13,"TOR",1,3
"123",15,"Mark Dewey",1965,6,1990,1996,0,205,11,1,1,0,0,0,3,0.091,0.286,0.091,0.377,12,7,3.65,1.386,205,0,8,249,243,18,102,168,"SFG,NYM,PIT",1,3
"124",16,"Luis Sojo",1965,13,1990,2003,0,848,2571,300,671,36,261,28,124,0.261,0.297,0.352,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOR,ANA,SEA,NYY,PIT",1,3
"125",17,"Luis Rivera",1964,11,1986,1998,0,781,2215,249,516,28,209,20,171,0.233,0.291,0.333,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WSN,BOS,NYM,HOU,KCR",1,3
"126",18,"Howard Hilton",1964,1,1990,1990,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,1.667,2,0,0,3,2,0,3,2,"STL",1,3
"127",19,"Russ Swan",1964,6,1989,1994,0,168,3,0,0,0,0,0,0,0,0,0,0,14,22,4.83,1.523,168,20,11,266.2,282,26,124,108,"SFG,SEA,CLE",1,3
"128",20,"Darren Daulton",1962,14,1983,1997,3,1161,3630,511,891,137,588,50,629,0.245,0.357,0.427,0.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI,FLA",1,3
"129",21,"John Leister",1961,2,1987,1990,0,10,0,0,0,0,0,0,0,NA,NA,NA,NA,0,2,8.5,2,10,7,0,36,56,9,16,19,"BOS",1,3
"130",22,"Randy Hunt",1960,2,1985,1986,0,35,67,5,13,2,6,0,5,0.194,0.25,0.284,0.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STL,WSN",1,3
"131",23,"Brian Allard",1958,3,1979,1981,0,19,0,0,0,0,0,0,0,NA,NA,NA,NA,4,6,4.23,1.338,19,13,0,95.2,97,9,31,44,"TEX,SEA",1,3
"132",24,"Bart Johnson",1950,8,1969,1977,0,185,93,7,20,0,11,1,3,0.215,0.247,0.247,0.495,43,51,3.94,1.426,185,97,17,809.1,806,60,348,520,"CHW",1,3
